npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/css/03f3b43e3eb87027.css
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 3 ms
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 2 ms
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/chunks/webpack-f1a8e2c75785339b.js
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 11 ms
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/chunks/fd9d1056-d87032f735ffd154.js
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/chunks/2117-c9cfb1dc6fa7bac4.js
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/chunks/main-app-5294d1645fe5526e.js
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/chunks/3571-14c68020f072974f.js
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/chunks/6969-095511c932452e31.js
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/chunks/app/page-c79088f506f38874.js
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 4 ms
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 4 ms
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 4 ms
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 5 ms
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 4 ms
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 4 ms
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/chunks/4e88bc13-cc6610857208c259.js
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 5 ms
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/chunks/3a91511d-455887f8f1bc71fb.js
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/chunks/9663-a0c4241d16c0d8d3.js
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 8 ms
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 8 ms
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/chunks/629-15532f3f65e64f36.js
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 2 ms
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/chunks/app/layout-e9ff7760c41ff1a2.js
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 1 ms
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/chunks/9443.7badc0a6c99e1a29.js
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/chunks/1866.37d7bb321befbded.js
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 1 ms
 HTTP  12/9/2025 5:39:59 PM ::1 GET /FarmCaster/_next/static/chunks/2367.6b0d1ae9e9a3e732.js
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 1 ms
 HTTP  12/9/2025 5:39:59 PM ::1 Returned 200 in 1 ms
